시도,시군구,년,위도,경도,기온_6월10이상,기온_6월15이상,기온_6월20이상,기온_6월25이상,기온_6월30이상,기온_7월10이상,기온_7월15이상,기온_7월20이상,기온_7월25이상,기온_7월30이상,기온_8월10이상,기온_8월15이상,기온_8월20이상,기온_8월25이상,기온_8월30이상,기온_9월10이상,기온_9월15이상,기온_9월20이상,기온_9월25이상,기온_9월30이상,기온_10월10이상,기온_10월15이상,기온_10월20이상,기온_10월25이상,기온_10월30이상,전_P0,답_P0,임야_P0,대지_P0,공원_P0,과수원_P0,유원지_P0,묘지_P0,남자인구_P1,여자인구_P1,X65이상인구_P1,X65이상남자_P1,X65이상여자_P1,X65이상남자_P2,X65이상여자_P2,X50이상인구_P1,X50이상남자_P1,X50이상여자_P1,X50이상남자_P2,X50이상여자_P2,농가인구_P1,농가남자_P1,농가여자_P1,농가남자_P2,농가여자_P2,위험지수,color
강원도,홍천군,2017,37.696993,127.888832,717,646,460,241,76,744,744,744,405,100,744,728,645,306,85,706,586,293,96,0,541,307,87,10,0,5.796,3.176,84.027,0.818,0.013,0.025,0.012,0.027,50.911,49.089,21.877,9.427,12.45,43.09,56.91,50.192,24.19,26.002,48.195,51.805,27.046,13.563,13.483,50.146,49.854,6.081,white
강원도,화천군,2017,38.1056484,127.7080492,719,681,502,248,67,744,744,744,511,97,744,736,659,320,68,706,620,315,78,0,571,341,89,11,0,4.635,1.858,84.424,0.522,0.001,0.045,0.007,0.028,55.737,44.263,18.705,7.701,11.005,41.169,58.831,40.462,19.493,20.969,48.175,51.825,21.389,10.756,10.629,50.286,49.695,6.081,white
강원도,횡성군,2017,37.4917013,127.9850404,719,683,466,201,26,744,744,744,397,53,744,740,656,312,52,716,644,310,60,0,607,358,103,3,0,8.66,4.828,76.593,1.056,0.025,0.029,0.034,0.086,50.358,49.642,25.487,11.116,14.371,43.614,56.386,54.934,26.237,28.697,47.762,52.238,33.097,16.923,16.172,51.131,48.862,6.455,white
경기도,가평군,2017,37.8312549,127.5095764,719,681,502,248,67,744,744,744,511,97,744,736,659,320,68,706,620,315,78,0,571,341,89,11,0,5.135,3.124,82.096,1.704,0.011,0.16,0.043,0.09,50.846,49.154,21.835,9.498,12.337,43.499,56.501,49.504,23.871,25.633,48.22,51.78,16.692,8.491,8.202,50.871,49.139,6.081,white
경기도,과천시,2017,37.4291629,126.9876113,719,700,508,192,23,744,744,744,513,95,744,744,686,398,88,717,680,437,137,0,615,412,138,13,0,7.512,5.877,63.416,8.529,0.693,0.126,2.195,0.105,48.8,51.2,12.224,4.982,7.242,40.757,59.243,35.912,16.609,19.303,46.249,53.751,1.784,0.891,0.894,49.954,50.139,6.081,white
경기도,광명시,2017,37.478493,126.864548,719,717,506,108,0,744,744,744,467,27,744,744,699,424,71,720,715,555,100,0,678,428,104,4,0,13.391,6.573,36.602,18.76,1.347,0.004,0,0.254,49.522,50.478,10.824,4.58,6.244,42.317,57.683,32.541,15.198,17.343,46.705,53.295,0.578,0.283,0.296,48.915,51.085,6.081,white
경기도,광주시,2017,35.160103,126.851308,718,685,502,260,57,744,744,744,458,87,744,738,662,336,83,710,639,344,105,0,582,369,128,17,0,6.362,6.103,66.306,4.236,0.066,0.128,0.008,0.539,51.086,48.914,10.991,4.984,6.007,45.347,54.653,33.105,16.211,16.894,48.967,51.033,3.735,1.817,1.918,48.654,51.346,6.081,white
경기도,구리시,2017,37.5943119,127.1295651,718,685,502,260,57,744,744,744,458,87,744,738,662,336,83,710,639,344,105,0,582,369,128,17,0,13.55,3.574,36.545,12.331,0.946,0.79,0,0.732,49.555,50.445,10.777,4.656,6.121,43.206,56.794,33.821,16.27,17.551,48.107,51.893,0.952,0.47,0.482,49.366,50.634,6.081,white
경기도,군포시,2017,37.3616702,126.9351739,719,700,508,192,23,744,744,744,513,95,744,744,686,398,88,717,680,437,137,0,615,412,138,13,0,7.955,4.617,42.714,15.14,3.007,0.045,0,0.045,49.588,50.412,10.268,4.341,5.927,42.28,57.72,32.031,15.176,16.855,47.378,52.622,0.43,0.219,0.212,50.802,49.198,6.081,white
경기도,김포시,2017,37.615246,126.715633,719,717,506,108,0,744,744,744,467,27,744,744,699,424,71,720,715,555,100,0,678,428,104,4,0,9.239,23.326,24.263,7.337,1.646,0.594,0.05,0.429,50.075,49.925,11.344,4.984,6.36,43.938,56.062,31.43,15.12,16.31,48.107,51.893,4.283,2.089,2.195,48.764,51.236,4.778,white
경기도,남양주시,2017,37.636003,127.216528,718,685,502,260,57,744,744,744,458,87,744,738,662,336,83,710,639,344,105,0,582,369,128,17,0,6.799,6.347,65.627,5.045,0.439,0.402,0.031,0.587,49.867,50.133,11.861,5.16,6.7,43.508,56.492,32.855,15.743,17.113,47.915,52.085,2.503,1.251,1.252,49.981,50.025,6.081,white
